flightfare_key,arrivalAirportKey,available_seats
1,Brindisi,102
3,Malaga,-1
4,Ibiza,80
5,Alicante,-1
6,Alicante,106
7,Faro,90
8,Napels,148
9,Brindisi,102
11,Palma,-1
12,Malaga,-1
13,Alicante,-1
14,Alicante,106
15,Faro,90
16,Napels,148
18,Palma,-18
19,Malaga,-1
20,Malaga,-10
21,Ibiza,80
22,Alicante,-1
23,Alicante,106
24,Faro,-1
25,Faro,90
26,Napels,84
27,Napels,148
28,Brindisi,102
29,Palma,-1
30,Malaga,-1
31,Ibiza,80
32,Alicante,106
33,Alicante,-1
34,Faro,90
35,Napels,148
36,Palma,-18
38,Palma,-1
39,Malaga,-1
41,Alicante,-1
42,Alicante,106
43,Faro,-1
44,Faro,90
45,Napels,148
46,Palma,-1
47,Malaga,-1
48,Ibiza,80
49,Alicante,-1
50,Alicante,106
51,Faro,-1
52,Faro,90
53,Napels,148
54,Brindisi,102
56,Palma,-18
58,Palma,-1
59,Malaga,-1
60,Alicante,106
61,Faro,90
62,Napels,148
63,Napels,84
64,Brindisi,102
66,Malaga,-1
67,Ibiza,80
68,Alicante,-1
69,Alicante,106
70,Faro,90
71,Napels,148
72,Brindisi,102
74,Palma,-1
75,Malaga,-1
76,Alicante,-1
77,Alicante,106
78,Faro,90
79,Napels,148
81,Palma,-18
82,Malaga,-1
83,Malaga,-10
84,Ibiza,80
85,Alicante,-1
86,Alicante,106
87,Faro,-1
88,Faro,90
89,Napels,84
90,Napels,148
91,Brindisi,102
92,Palma,-1
93,Malaga,-1
94,Ibiza,80
95,Alicante,106
96,Alicante,-1
97,Faro,90
98,Napels,148
99,Palma,-18
101,Palma,-1
102,Malaga,-1
104,Alicante,-1
105,Alicante,106
106,Faro,-1
107,Faro,90
108,Napels,148
109,Palma,-1
110,Malaga,-1
111,Ibiza,80
112,Alicante,-1
113,Alicante,106
114,Faro,-1
115,Faro,90
116,Napels,148
117,Brindisi,102
119,Palma,-18
121,Palma,-1
122,Malaga,-1
123,Alicante,106
124,Faro,90
125,Napels,148
126,Napels,84
127,Brindisi,102
129,Malaga,-1
130,Ibiza,80
131,Alicante,-1
132,Alicante,106
133,Faro,90
134,Napels,148
135,Brindisi,102
137,Palma,-1
138,Malaga,-1
139,Alicante,106
140,Faro,90
141,Napels,148
143,Palma,-18
144,Malaga,-1
145,Malaga,-10
146,Ibiza,80
147,Alicante,-1
148,Alicante,106
149,Faro,-1
150,Faro,90
151,Napels,84
152,Napels,148
153,Brindisi,102
154,Palma,-1
155,Malaga,-1
156,Ibiza,80
157,Alicante,106
158,Alicante,-1
159,Faro,90
160,Napels,148
161,Palma,-18
163,Palma,-1
164,Malaga,-1
166,Alicante,-1
167,Alicante,106
168,Faro,-1
169,Faro,90
170,Napels,148
171,Palma,-1
172,Malaga,-1
173,Ibiza,80
174,Alicante,-1
175,Alicante,106
176,Faro,-1
177,Faro,90
178,Napels,148
179,Brindisi,102
181,Palma,-18
183,Palma,-1
184,Malaga,-1
185,Alicante,106
186,Faro,90
187,Napels,148
188,Napels,84
189,Brindisi,102
191,Malaga,-1
192,Ibiza,80
193,Alicante,106
194,Faro,90
195,Napels,148
196,Brindisi,102
198,Alicante,106
199,Faro,90
200,Napels,148
202,Palma,-18
203,Malaga,-10
204,Alicante,-1
205,Alicante,106
206,Faro,-1
207,Napels,84
208,Napels,148
209,Brindisi,102
210,Alicante,-1
211,Napels,148
212,Palma,-18
214,Palma,-1
216,Malaga,-1
217,Alicante,-1
218,Faro,90
219,Napels,148
220,Brindisi,102
222,Palma,-18
224,Palma,-1
225,Malaga,-1
226,Alicante,106
227,Faro,90
228,Napels,84
229,Napels,148
230,Brindisi,102
232,Malaga,-1
233,Alicante,106
234,Napels,148
235,Brindisi,102
237,Palma,-1
238,Alicante,106
239,Napels,148
241,Palma,-18
242,Malaga,-1
243,Malaga,-10
244,Ibiza,80
245,Faro,-1
246,Napels,148
250,Malaga,-1
251,Malaga,-1
252,Malaga,-1
253,Malaga,-1
254,Malaga,-1
256,Malaga,-1
257,Malaga,-1
258,Malaga,-1
259,Malaga,-1
260,Malaga,-1
261,Malaga,-1
262,Malaga,-1
263,Malaga,-1
264,Ibiza,-1
265,Ibiza,-1
266,Alicante,-1
267,Alicante,-1
269,Alicante,-1
270,Alicante,-1
272,Alicante,-1
274,Alicante,-1
275,Alicante,-1
276,Alicante,-1
278,Alicante,-1
285,Malaga,-1
286,Malaga,-1
287,Malaga,-1
288,Malaga,-1
289,Malaga,-1
291,Malaga,-1
292,Malaga,-1
293,Malaga,-1
294,Malaga,-1
295,Malaga,-1
296,Malaga,-1
298,Malaga,-1
299,Ibiza,-1
300,Ibiza,-1
301,Alicante,-1
303,Alicante,-1
304,Alicante,-1
306,Alicante,-1
307,Alicante,-1
309,Alicante,-1
311,Alicante,-1
312,Alicante,-1
313,Alicante,-1
315,Alicante,-1
319,Malaga,-1
320,Malaga,-1
321,Malaga,-1
323,Malaga,-1
325,Malaga,-1
326,Malaga,-1
327,Malaga,-1
328,Malaga,-1
329,Malaga,-1
331,Malaga,-1
332,Alicante,-1
334,Alicante,-1
336,Alicante,-1
337,Alicante,-1
339,Alicante,-1
340,Alicante,-1
341,Alicante,-1
343,Alicante,-1
346,Malaga,-1
347,Malaga,-1
348,Malaga,-1
350,Malaga,-1
352,Malaga,-1
353,Malaga,-1
354,Malaga,-1
355,Malaga,-1
356,Malaga,-1
357,Malaga,-1
359,Alicante,-1
360,Alicante,-1
362,Alicante,-1
363,Alicante,-1
365,Alicante,-1
366,Alicante,-1
367,Alicante,-1
369,Alicante,-1
372,Malaga,-1
373,Malaga,-1
374,Malaga,-1
376,Malaga,-1
378,Malaga,-1
379,Malaga,-1
380,Malaga,-1
381,Malaga,-1
382,Malaga,-1
383,Malaga,-1
384,Alicante,-1
386,Alicante,-1
388,Alicante,-1
389,Alicante,-1
390,Alicante,-1
391,Alicante,-1
392,Alicante,-1
394,Alicante,-1
397,Malaga,-1
398,Malaga,-1
